state_id,page_id,state_name,description,implementation_version,visual_reference,automation,release_blocking
SYS-001-S04,SYS-001,离线但有登录态,允许进入缓存首页并显示离线提示,V1.1.0,visual/states/SYS-001-S04.png,STATE_OR_COMPONENT_TEST,NO
SYS-002-S03,SYS-002,离线且无缓存,首次使用无网络，提供检查网络和重试,V1.1.0,visual/states/SYS-002-S03.png,STATE_OR_COMPONENT_TEST,NO
COM-OV-001-S01,COM-OV-001,白名单外链确认,显示目标服务和域名,V1.1.0,visual/states/COM-OV-001-S01.png,STATE_OR_COMPONENT_TEST,NO
COM-OV-001-S02,COM-OV-001,外链被阻断,非白名单地址不可继续,V1.1.0,visual/states/COM-OV-001-S02.png,STATE_OR_COMPONENT_TEST,NO
COM-OV-001-S03,COM-OV-001,目标应用未安装,提供浏览器或复制回退,V1.1.0,visual/states/COM-OV-001-S03.png,STATE_OR_COMPONENT_TEST,NO
HOME-001-S01,HOME-001,首次骨架,无缓存时显示结构化骨架,V1.1.0,visual/states/HOME-001-S01.png,EMULATOR_VISUAL_SMOKE,YES
HOME-001-S02,HOME-001,正常内容,缓存或网络项目流,V1.1.0,visual/states/HOME-001-S02.png,EMULATOR_VISUAL_SMOKE,YES
HOME-001-S03,HOME-001,下拉刷新,保留列表并显示刷新进度,V1.1.0,visual/states/HOME-001-S03.png,STATE_OR_COMPONENT_TEST,NO
HOME-001-S04,HOME-001,分类筛选结果,显示当前分类和项目,V1.1.0,visual/states/HOME-001-S04.png,EMULATOR_VISUAL_SMOKE,YES
HOME-001-S05,HOME-001,加载下一页,底部加载,V1.1.0,visual/states/HOME-001-S05.png,STATE_OR_COMPONENT_TEST,NO
HOME-001-S06,HOME-001,下一页失败,保留已有列表并局部重试,V1.1.0,visual/states/HOME-001-S06.png,STATE_OR_COMPONENT_TEST,NO
HOME-001-S08,HOME-001,离线缓存,保留缓存列表和离线提示,V1.1.0,visual/states/HOME-001-S08.png,EMULATOR_VISUAL_SMOKE,YES
HOME-001-S09,HOME-001,离线无缓存,明确离线且无历史数据,V1.1.0,visual/states/HOME-001-S09.png,STATE_OR_COMPONENT_TEST,NO
HOME-001-S10,HOME-001,网络错误,首屏重试,V1.1.0,visual/states/HOME-001-S10.png,STATE_OR_COMPONENT_TEST,NO
HOME-001-S11,HOME-001,请求超时,首屏超时重试,V1.1.0,visual/states/HOME-001-S11.png,STATE_OR_COMPONENT_TEST,NO
HOME-001-S12,HOME-001,服务异常,请求编号和重试,V1.1.0,visual/states/HOME-001-S12.png,STATE_OR_COMPONENT_TEST,NO
HOME-002-S01,HOME-002,搜索默认,空关键词和提示,V1.1.0,visual/states/HOME-002-S01.png,EMULATOR_VISUAL_SMOKE,YES
HOME-002-S02,HOME-002,输入中,清除按钮和键盘,V1.1.0,visual/states/HOME-002-S02.png,STATE_OR_COMPONENT_TEST,NO
HOME-002-S03,HOME-002,搜索中,结果骨架,V1.1.0,visual/states/HOME-002-S03.png,STATE_OR_COMPONENT_TEST,NO
HOME-002-S04,HOME-002,有结果,结果统计和列表,V1.1.0,visual/states/HOME-002-S04.png,EMULATOR_VISUAL_SMOKE,YES
HOME-002-S05,HOME-002,无结果,建议更换关键词,V1.1.0,visual/states/HOME-002-S05.png,STATE_OR_COMPONENT_TEST,NO
