operation_id,required_for_version,introduced_in,method,path,plugin,auth,purpose,request_contract,success_contract,error_codes,idempotency,rate_limit,transport,response_envelope,dependency_type
getProjectDetail,V1.2.0,V1.0.0,GET,/api/v1/projects/{project_id},stk_project,BEARER,复用已有详情接口读取本人状态与 owner_actions,project_id,"project full detail, images, publisher, contact capability, owner_actions",PROJECT_NOT_FOUND|PROJECT_NOT_VISIBLE,N/A,按全局与场景策略,HTTPS JSON UTF-8,"code,message,data,request_id,server_time",INHERITED_REQUIRED
listProjectCategories,V1.2.0,V1.0.0,GET,/api/v1/project/categories,stk_project,BEARER,复用已有分类接口填充发布表单,include_all=true,"categories[id,name,icon_url,sort_order]",PROJECT_CATEGORY_UNAVAILABLE,N/A,按全局与场景策略,HTTPS JSON UTF-8,"code,message,data,request_id,server_time",INHERITED_REQUIRED
createProject,V1.2.0,V1.2.0,POST,/api/v1/projects,stk_project,BEARER,创建项目并返回真实 pending/published 状态,"title,summary,category_id,asset_ids,cover_asset_id,contact_type,contact_value,contact_name,publish_agreement_version","project_id,status=pending|published,submitted_at,next_route",PROJECT_VALIDATION_FAILED|PROJECT_DAILY_LIMIT|PROJECT_PENDING_LIMIT|PROJECT_DUPLICATE_SUBMISSION,Idempotency-Key required,按全局与场景策略,HTTPS JSON UTF-8,"code,message,data,request_id,server_time",NEW_IN_V1.2.0
deleteProject,V1.2.0,V1.2.0,DELETE,/api/v1/projects/{project_id},stk_project,BEARER,按状态机软删除本人项目,"project_id,version",deleted=true,PROJECT_NOT_OWNER|PROJECT_STATE_INVALID|PROJECT_CONFLICT,Idempotency-Key required,按全局与场景策略,HTTPS JSON UTF-8,"code,message,data,request_id,server_time",NEW_IN_V1.2.0
deleteUploadedImage,V1.2.0,V1.2.0,DELETE,/api/v1/uploads/project-images/{asset_id},stk_project,BEARER,删除本人未绑定或允许删除的上传资产,asset_id,deleted=true,UPLOAD_NOT_FOUND|UPLOAD_NOT_OWNER|UPLOAD_ALREADY_ATTACHED,Idempotency-Key required,按全局与场景策略,HTTPS JSON UTF-8,"code,message,data,request_id,server_time",NEW_IN_V1.2.0
listMyProjects,V1.2.0,V1.2.0,GET,/api/v1/me/projects,stk_project,BEARER,按状态和游标查询本人项目,"status, cursor, limit<=30","items,next_cursor,has_more,status_counts",PROJECT_QUERY_INVALID,N/A,按全局与场景策略,HTTPS JSON UTF-8,"code,message,data,request_id,server_time",NEW_IN_V1.2.0
offlineProject,V1.2.0,V1.2.0,POST,/api/v1/projects/{project_id}/offline,stk_project,BEARER,下架本人项目,"project_id,version","status=offline,version,updated_at",PROJECT_NOT_OWNER|PROJECT_STATE_INVALID|PROJECT_CONFLICT,Idempotency-Key required,按全局与场景策略,HTTPS JSON UTF-8,"code,message,data,request_id,server_time",NEW_IN_V1.2.0
resubmitProject,V1.2.0,V1.2.0,POST,/api/v1/projects/{project_id}/resubmit,stk_project,BEARER,将本人被驳回项目重新提交审核,"project_id,version","status=pending,version,submitted_at",PROJECT_NOT_OWNER|PROJECT_STATE_INVALID|PROJECT_CONFLICT,Idempotency-Key required,按全局与场景策略,HTTPS JSON UTF-8,"code,message,data,request_id,server_time",NEW_IN_V1.2.0
updateProject,V1.2.0,V1.2.0,PUT,/api/v1/projects/{project_id},stk_project,BEARER,按版本号编辑本人项目并处理重新审核,"project_id,version,title,summary,category_id,asset_ids,cover_asset_id,contact fields","project_id,status,version,updated_at",PROJECT_NOT_OWNER|PROJECT_CONFLICT|PROJECT_VALIDATION_FAILED,Idempotency-Key required,按全局与场景策略,HTTPS JSON UTF-8,"code,message,data,request_id,server_time",NEW_IN_V1.2.0
uploadProjectImage,V1.2.0,V1.2.0,POST,/api/v1/uploads/project-images,stk_project,BEARER_MULTIPART,上传、校验并登记项目图片资产,"file,upload_session_id,client_sha256,width,height,mime","asset_id,thumbnail_url,display_url,width,height,size,mime,status",UPLOAD_TOO_LARGE|UPLOAD_TYPE_INVALID|UPLOAD_IMAGE_INVALID|UPLOAD_QUOTA_EXCEEDED,Idempotency-Key required,每用户上传并发2、会话与日配额,HTTPS JSON UTF-8,"code,message,data,request_id,server_time",NEW_IN_V1.2.0
