state_id,page_id,state_name,reference_file,implementation_status,code_location,notes
DS-001-S01,DS-001,完整规范,ui-reference/detailed/V1.0.0/DS-001-S01.png,NOT_APPLICABLE,"ui/theme/StkColors.kt; ui/theme/StkTypography.kt; ui/theme/StkDimens.kt","设计系统参考板不是业务 Screen；由全局 Token 和公共组件落实，禁止新增页面。"
DS-002-S01,DS-002,完整组件,ui-reference/detailed/V1.0.0/DS-002-S01.png,NOT_APPLICABLE,"ui/components/StkComponents.kt; ui/components/StkDialogs.kt","设计系统参考板不是业务 Screen；由全局 Token 和公共组件落实，禁止新增页面。"
DS-003-S01,DS-003,完整状态,ui-reference/detailed/V1.0.0/DS-003-S01.png,NOT_APPLICABLE,"ui/components/StkComponents.kt; ui/components/StkDialogs.kt","设计系统参考板不是业务 Screen；由全局 Token 和公共组件落实，禁止新增页面。"
SYS-001-S01,SYS-001,启动检查,ui-reference/detailed/V1.0.0/SYS-001-S01.png,ALREADY_MATCHED,"ui/system/SplashScreen.kt; ui/StkApp.kt; ui/system/StartupViewModel.kt","统一 SplashScreen 使用品牌首帧、固定装饰、进度及检查配置/登录态/版本信息文案；B04 服务器三项验证通过。"
SYS-001-S02,SYS-001,需要登录,ui-reference/detailed/V1.0.0/SYS-001-S02.png,ALREADY_MATCHED,"ui/system/SplashScreen.kt; ui/StkApp.kt","无会话时在加载真实 bootstrap 期间显示至少 400ms 的 NeedsLogin 过渡，再进入同一登录 Screen；B04 服务器三项验证通过。"
SYS-001-S03,SYS-001,进入首页,ui-reference/detailed/V1.0.0/SYS-001-S03.png,ALREADY_MATCHED,"ui/system/SplashScreen.kt; ui/StkApp.kt","有效会话首次进入主界面前显示 400ms Ready 成功过渡，令牌轮换不会重复遮挡页面；B04 服务器三项验证通过。"
SYS-001-S08,SYS-001,启动配置失败,ui-reference/detailed/V1.0.0/SYS-001-S08.png,ALREADY_MATCHED,"ui/system/SplashScreen.kt; ui/StkApp.kt; ui/system/StartupViewModel.kt","发布配置或认证 bootstrap 失败均保留品牌首帧，显示失败原因和重新加载动作，不再静默放行或白屏；B04 服务器三项验证通过。"
SYS-002-S02,SYS-002,服务不可用,ui-reference/detailed/V1.0.0/SYS-002-S02.png,ALREADY_MATCHED,"ui/system/SystemFeedbackScreen.kt; ui/system/StartupViewModel.kt","Maintenance 使用系统状态页、错误语义图标、服务不可用说明和重新连接动作，同时保留现有维护门禁；B04 服务器三项验证通过。"
SYS-002-S04,SYS-002,系统异常,ui-reference/detailed/V1.0.0/SYS-002-S04.png,ALREADY_MATCHED,"ui/system/SystemFeedbackScreen.kt; MainActivity.kt; ui/StkApp.kt; data/release/ReleaseRepository.kt","最终交付 APK 显示真实 request_id、重新尝试和返回；vivo 真机证据 78-delivery-system-error.* 确认页面结构，79-delivery-system-retry.xml 与 80-delivery-system-back.* 确认两个按钮均离开异常页，81-delivery-normal-cold-start.* 确认正常冷启动恢复。"
COM-OV-002-S01,COM-OV-002,发布尚未开放,ui-reference/detailed/V1.0.0/COM-OV-002-S01.png,ALREADY_MATCHED,"ui/main/MainShell.kt; ui/components/StkDialogs.kt","V1.0 发布入口统一拦截为带信息图标、说明和确认动作的 StkStatusDialog，不再进入无响应页面；B03 服务器三项验证通过。"
AUTH-001-S01,AUTH-001,密码登录默认,ui-reference/detailed/V1.0.0/AUTH-001-S01.png,ALREADY_MATCHED,"ui/auth/LoginScreen.kt; ui/components/StkComponents.kt","同一 LoginScreen 使用 16dp 页面边距、统一分段控件、标签、输入框及主按钮。"
AUTH-001-S02,AUTH-001,短信登录默认,ui-reference/detailed/V1.0.0/AUTH-001-S02.png,ALREADY_MATCHED,"ui/auth/LoginScreen.kt; ui/components/StkComponents.kt","同一 LoginScreen 通过 LoginMode 切换短信表单，未复制 Screen。"
AUTH-001-S03,AUTH-001,输入聚焦,ui-reference/detailed/V1.0.0/AUTH-001-S03.png,ALREADY_MATCHED,"ui/components/StkComponents.kt","StkTextField 使用品牌蓝聚焦边框、统一光标和文本样式。"
AUTH-001-S04,AUTH-001,本地校验错误,ui-reference/detailed/V1.0.0/AUTH-001-S04.png,ALREADY_MATCHED,"ui/auth/LoginScreen.kt; ui/components/StkComponents.kt","手机号、密码、短信码本地校验均显示红色边框和行内错误。"
AUTH-001-S05,AUTH-001,短信发送中,ui-reference/detailed/V1.0.0/AUTH-001-S05.png,ALREADY_MATCHED,"ui/auth/LoginScreen.kt; ui/auth/AuthViewModel.kt","SmsSending 独立阶段仅在发送入口显示 20dp 加载和“发送中…”，并防重复。"
AUTH-001-S06,AUTH-001,短信已发送,ui-reference/detailed/V1.0.0/AUTH-001-S06.png,ALREADY_MATCHED,"ui/auth/LoginScreen.kt; ui/auth/AuthViewModel.kt","显示倒计时及绿色“验证码已发送，有效期 5 分钟”反馈。"
AUTH-001-S07,AUTH-001,等待安全验证码,ui-reference/detailed/V1.0.0/AUTH-001-S07.png,ALREADY_MATCHED,"ui/auth/LoginScreen.kt; ui/auth/CaptchaDialog.kt","同一 LoginScreen 上显示统一验证码 Dialog，保留主表单并提供图片、输入、刷新、取消和确认动作；B03 服务器三项验证通过。"
AUTH-001-S08,AUTH-001,登录提交中,ui-reference/detailed/V1.0.0/AUTH-001-S08.png,ALREADY_MATCHED,"ui/auth/LoginScreen.kt; ui/auth/AuthViewModel.kt","PasswordLogin/SmsLogin 阶段关闭验证码层、锁定输入及分段控件并显示主按钮加载。"
AUTH-001-S09,AUTH-001,登录成功,ui-reference/detailed/V1.0.0/AUTH-001-S09.png,ALREADY_MATCHED,"ui/auth/LoginScreen.kt; ui/auth/AuthViewModel.kt; data/auth/HttpAuthRepository.kt","真实登录 Session 返回后先显示 700ms 绿色成功反馈，再写入 TokenStore 按配置跳转。"
AUTH-001-S10,AUTH-001,手机号或密码错误,ui-reference/detailed/V1.0.0/AUTH-001-S10.png,ALREADY_MATCHED,"ui/auth/LoginScreen.kt; ui/auth/AuthViewModel.kt","密码登录 4003 统一映射为“手机号或密码错误”，不暴露账户存在性。"
AUTH-001-S11,AUTH-001,短信验证码错误,ui-reference/detailed/V1.0.0/AUTH-001-S11.png,ALREADY_MATCHED,"ui/auth/LoginScreen.kt; ui/auth/AuthViewModel.kt","短信登录 4003 显示行内“短信验证码错误，请重新输入”并保留手机号。"
AUTH-001-S12,AUTH-001,短信验证码过期,ui-reference/detailed/V1.0.0/AUTH-001-S12.png,ALREADY_MATCHED,"ui/auth/LoginScreen.kt; ui/auth/AuthViewModel.kt","短信登录 4004 单独显示过期文案并解除发送倒计时以允许重新发送。"
AUTH-001-S13,AUTH-001,操作过于频繁,ui-reference/detailed/V1.0.0/AUTH-001-S13.png,ALREADY_MATCHED,"ui/auth/LoginScreen.kt; ui/auth/AuthViewModel.kt","4290 解析服务端重试秒数并使用警告反馈条实时倒计时。"
AUTH-001-S14,AUTH-001,账号受限,ui-reference/detailed/V1.0.0/AUTH-001-S14.png,ALREADY_MATCHED,"ui/auth/AuthEntryScreen.kt; ui/auth/AuthViewModel.kt; ui/components/StkDialogs.kt","4030/4290 风控响应分类后使用统一带图标 Dialog 展示限制原因与可执行动作；B03 服务器三项验证通过。"
