page_id,page_name,introduced_in,layout_profile,top_bar_height_dp,bottom_nav_height_dp,horizontal_padding_dp,section_gap_dp,card_radius_dp,input_height_dp,primary_button_height_dp,minimum_touch_dp,page_title_token,body_token,caption_token,dominant_region,identity_signature,specific_rules,forbidden_guessing
DS-001,色彩、字体、间距与圆角规范板,V1.0.0,DESIGN_BOARD,none,none,0,20,0,N/A,48,48,page_title,body,caption,design_reference_board,颜色样本+字体层级+间距刻度+圆角样本,仅用于设计与验收，不是业务页面,禁止从效果图估算或页面内硬编码数值；必须引用 STK-DS-1.0
DS-002,公共组件规范板,V1.0.0,DESIGN_BOARD,none,none,0,20,0,N/A,48,48,page_title,body,caption,design_reference_board,顶部栏+底部导航+按钮+输入框+标签+卡片,组件板不得实现成独立业务页面,禁止从效果图估算或页面内硬编码数值；必须引用 STK-DS-1.0
DS-003,全局状态与反馈规范板,V1.0.0,DESIGN_BOARD,none,none,0,20,0,N/A,48,48,page_title,body,caption,design_reference_board,骨架+空状态+错误+成功+Snackbar+Dialog,统一所有页面反馈，不得逐页自由设计,禁止从效果图估算或页面内硬编码数值；必须引用 STK-DS-1.0
SYS-001,启动与路由判定,V1.0.0,SPLASH,none,none,24,20,16,N/A,48,48,page_title,body,caption,centered_brand_status,品牌标识+启动状态+恢复入口,只做路由判定，不展示广告,禁止从效果图估算或页面内硬编码数值；必须引用 STK-DS-1.0
SYS-002,维护、离线与服务不可用,V1.0.0,RESULT,56,none,24,20,16,N/A,48,48,page_title,body,caption,centered_result,系统状态插图+明确原因+重试/退出,不能用空白页或系统异常堆栈,禁止从效果图估算或页面内硬编码数值；必须引用 STK-DS-1.0
SYS-003,版本更新与下载状态,V1.4.0,STANDARD,56,none,16,20,16,N/A,48,48,page_title,body,caption,standard_content,当前版本+新版本+更新日志+下载状态,只接受服务器签名配置和白名单下载域名,禁止从效果图估算或页面内硬编码数值；必须引用 STK-DS-1.0
SYS-OV-001,可选更新弹窗,V1.4.0,OVERLAY,parent,parent,0,20,20,N/A,48,48,page_title,body,caption,dialog_or_bottom_sheet,版本号+更新摘要+稍后/立即更新,允许关闭,禁止从效果图估算或页面内硬编码数值；必须引用 STK-DS-1.0
SYS-OV-002,强制更新弹窗,V1.4.0,OVERLAY,parent,parent,0,20,20,N/A,48,48,page_title,body,caption,dialog_or_bottom_sheet,版本号+强制说明+立即更新,不提供关闭进入业务的路径,禁止从效果图估算或页面内硬编码数值；必须引用 STK-DS-1.0
COM-OV-001,受控外部链接确认,V1.1.0,OVERLAY,parent,parent,0,20,20,N/A,48,48,page_title,body,caption,dialog_or_bottom_sheet,目标服务+域名+风险说明+继续/取消,非白名单地址必须阻断,禁止从效果图估算或页面内硬编码数值；必须引用 STK-DS-1.0
COM-OV-002,阶段功能说明弹窗,V1.0.0,OVERLAY,parent,parent,0,20,20,N/A,48,48,page_title,body,caption,dialog_or_bottom_sheet,功能名称+开放版本+返回,用于早期版本的发布/会员等明确占位，禁止无响应,禁止从效果图估算或页面内硬编码数值；必须引用 STK-DS-1.0
AUTH-001,登录,V1.0.0,AUTH,none,none,24,20,16,48,48,48,page_title,body,caption,brand_header_and_form,商推客品牌+密码/短信双模式+主登录按钮,登录、注册、发送短信均受安全验证码约束,禁止从效果图估算或页面内硬编码数值；必须引用 STK-DS-1.0
AUTH-002,注册,V1.0.0,AUTH,none,none,24,20,16,48,48,48,page_title,body,caption,brand_header_and_form,手机号+密码+确认密码+协议+注册按钮,注册不发送短信验证码,禁止从效果图估算或页面内硬编码数值；必须引用 STK-DS-1.0
AUTH-003,找回并重置密码,V1.0.0,AUTH,none,none,24,20,16,48,48,48,page_title,body,caption,brand_header_and_form,手机号+短信验证码+新密码+确认密码,发送短信和最终提交都需要动作绑定的安全验证码票据,禁止从效果图估算或页面内硬编码数值；必须引用 STK-DS-1.0
AUTH-004,用户协议,V1.0.0,LEGAL,56,none,16,20,16,N/A,48,48,page_title,body,caption,scrolling_legal_text,固定标题+版本日期+协议正文,内容来自受版本管理的后台协议配置,禁止从效果图估算或页面内硬编码数值；必须引用 STK-DS-1.0
AUTH-005,隐私政策,V1.0.0,LEGAL,56,none,16,20,16,N/A,48,48,page_title,body,caption,scrolling_legal_text,固定标题+版本日期+隐私正文,内容来自受版本管理的后台协议配置,禁止从效果图估算或页面内硬编码数值；必须引用 STK-DS-1.0
AUTH-OV-001,安全验证码弹窗,V1.0.0,OVERLAY,parent,parent,0,20,20,N/A,48,48,page_title,body,caption,dialog_or_bottom_sheet,验证码图片+输入框+刷新+确认,challenge/ticket 与动作、会话、IP、设备绑定且一次一用,禁止从效果图估算或页面内硬编码数值；必须引用 STK-DS-1.0
AUTH-OV-002,账号与风控提示,V1.0.0,OVERLAY,parent,parent,0,20,20,N/A,48,48,page_title,body,caption,dialog_or_bottom_sheet,状态图标+原因+恢复建议+确认,不能暴露账户是否存在等敏感细节,禁止从效果图估算或页面内硬编码数值；必须引用 STK-DS-1.0
HOME-001,首页项目流,V1.0.0,ROOT_FEED,56,64,16,20,16,N/A,48,48,page_title,body,caption,single_column_project_feed,品牌顶部栏+搜索+分类+单列项目卡+底部导航,首页只展示 published 项目,禁止从效果图估算或页面内硬编码数值；必须引用 STK-DS-1.0
