feature_id,feature_name,release_id,frontend_pages,frontend_states,interactions,api_operations,backend_modules,database_entities,admin_pages,config_ids,permissions,tests,explicit_exclusions,completion_rule
FND-001,Android 原生底座与统一设计系统,V1.0.0,DS-001;DS-002;DS-003;HOME-001;ME-001;COM-OV-002,DS-001-S01;DS-002-S01;DS-003-S01;HOME-001-S01;HOME-001-S02;HOME-001-S03;HOME-001-S04;HOME-001-S05;HOME-001-S06;HOME-001-S07;HOME-001-S08;HOME-001-S09;HOME-001-S10;HOME-001-S11;HOME-001-S12;HOME-001-S13;ME-001-S01;ME-001-S02;ME-001-S03;ME-001-S04;ME-001-S05;ME-001-S06;ME-001-S07;ME-001-S08;COM-OV-002-S01;COM-OV-002-S02;COM-OV-002-S03;COM-OV-002-S04,INT-NAV-001;INT-NAV-002;INT-NAV-003;INT-STAGE-001,NONE_LOCAL_OR_ADMIN_ONLY,android/app;android/core-designsystem;android/navigation,NONE,NONE,NONE,authenticated_user,T-REL-V1.0.0-BUILD;T-REL-V1.0.0-DESKTOP;T-REL-V1.0.0-EMULATOR;T-REL-V1.0.0-UPGRADE;T-REL-V1.0.0-VISUAL;T-UI-INT-NAV-001;T-UI-INT-NAV-002;T-UI-INT-NAV-003;T-UI-INT-STAGE-001;T-VIS-COM-OV-002-S01;T-VIS-COM-OV-002-S02;T-VIS-COM-OV-002-S03;T-VIS-COM-OV-002-S04;T-VIS-DS-001-S01;T-VIS-DS-002-S01;T-VIS-DS-003-S01;T-VIS-HOME-001-S01;T-VIS-HOME-001-S02;T-VIS-HOME-001-S03;T-VIS-HOME-001-S04;T-VIS-HOME-001-S05;T-VIS-HOME-001-S06;T-VIS-HOME-001-S07;T-VIS-HOME-001-S08;T-VIS-HOME-001-S09;T-VIS-HOME-001-S10;T-VIS-HOME-001-S11;T-VIS-HOME-001-S12;T-VIS-HOME-001-S13;T-VIS-ME-001-S01;T-VIS-ME-001-S02;T-VIS-ME-001-S03;T-VIS-ME-001-S04;T-VIS-ME-001-S05;T-VIS-ME-001-S06;T-VIS-ME-001-S07;T-VIS-ME-001-S08,内部业务 WebView;动态颜色;暗色模式;横屏和平板专用布局,页面/状态/交互/API/数据/后台/配置/测试中适用项全部完成并有证据，方可标记 DONE
FND-002,启动、配置和版本化路由,V1.0.0,SYS-001;SYS-002,SYS-001-S01;SYS-001-S02;SYS-001-S03;SYS-001-S04;SYS-001-S05;SYS-001-S06;SYS-001-S07;SYS-001-S08;SYS-002-S01;SYS-002-S02;SYS-002-S03;SYS-002-S04;SYS-002-S05,INT-SYS-001;INT-SYS-002;INT-SYS-003,getBootstrap;healthLive;healthReady,android/bootstrap;stk_auth/api/bootstrap;platform/health,DB-SYS-003,NONE,NONE,anonymous;authenticated_user,T-API-getBootstrap;T-API-healthLive;T-API-healthReady;T-DB-DB-SYS-003;T-REL-V1.0.0-BUILD;T-REL-V1.0.0-DESKTOP;T-REL-V1.0.0-EMULATOR;T-REL-V1.0.0-UPGRADE;T-REL-V1.0.0-VISUAL;T-UI-INT-SYS-001;T-UI-INT-SYS-002;T-UI-INT-SYS-003;T-VIS-SYS-001-S01;T-VIS-SYS-001-S02;T-VIS-SYS-001-S03;T-VIS-SYS-001-S04;T-VIS-SYS-001-S05;T-VIS-SYS-001-S06;T-VIS-SYS-001-S07;T-VIS-SYS-001-S08;T-VIS-SYS-002-S01;T-VIS-SYS-002-S02;T-VIS-SYS-002-S03;T-VIS-SYS-002-S04;T-VIS-SYS-002-S05,NONE,页面/状态/交互/API/数据/后台/配置/测试中适用项全部完成并有证据，方可标记 DONE
AUTH-001,手机号密码登录,V1.0.0,AUTH-001;AUTH-OV-002,AUTH-001-S01;AUTH-001-S02;AUTH-001-S03;AUTH-001-S04;AUTH-001-S05;AUTH-001-S06;AUTH-001-S07;AUTH-001-S08;AUTH-001-S09;AUTH-001-S10;AUTH-001-S11;AUTH-001-S12;AUTH-001-S13;AUTH-001-S14;AUTH-001-S15;AUTH-001-S16;AUTH-OV-002-S01;AUTH-OV-002-S02;AUTH-OV-002-S03;AUTH-OV-002-S04,INT-AUTH-001;INT-AUTH-003;INT-AUTH-004;INT-AUTH-005;INT-AUTH-008;INT-REG-007;INT-RESET-007,loginWithPassword;getMySummary,android/feature-auth;stk_auth/service/password_login,DB-AUTH-001;DB-AUTH-004;DB-AUTH-005;DB-AUTH-006;DB-SYS-003,ADM-AUTH-001;ADM-AUTH-003;ADM-AUTH-008;ADM-AUTH-009;ADM-AUTH-010;ADM-AUTH-011,CFG-AUTH-001;CFG-AUTH-002;CFG-AUTH-003;CFG-AUTH-004;CFG-AUTH-005;CFG-AUTH-006;CFG-AUTH-007;CFG-AUTH-008;CFG-AUTH-009;CFG-AUTH-010;CFG-AUTH-011;CFG-AUTH-012;CFG-AUTH-013;CFG-AUTH-014;CFG-AUTH-015;CFG-AUTH-016;CFG-AUTH-017;CFG-AUTH-018;CFG-AUTH-019;CFG-AUTH-020,anonymous,T-ADM-ADM-AUTH-001;T-ADM-ADM-AUTH-003;T-ADM-ADM-AUTH-008;T-ADM-ADM-AUTH-009;T-ADM-ADM-AUTH-010;T-ADM-ADM-AUTH-011;T-API-getMySummary;T-API-loginWithPassword;T-DB-DB-AUTH-001;T-DB-DB-AUTH-004;T-DB-DB-AUTH-005;T-DB-DB-AUTH-006;T-DB-DB-SYS-003;T-REL-V1.0.0-BUILD;T-REL-V1.0.0-DESKTOP;T-REL-V1.0.0-EMULATOR;T-REL-V1.0.0-UPGRADE;T-REL-V1.0.0-VISUAL;T-UI-INT-AUTH-001;T-UI-INT-AUTH-003;T-UI-INT-AUTH-004;T-UI-INT-AUTH-005;T-UI-INT-AUTH-008;T-UI-INT-REG-007;T-UI-INT-RESET-007;T-VIS-AUTH-001-S01;T-VIS-AUTH-001-S02;T-VIS-AUTH-001-S03;T-VIS-AUTH-001-S04;T-VIS-AUTH-001-S05;T-VIS-AUTH-001-S06;T-VIS-AUTH-001-S07;T-VIS-AUTH-001-S08;T-VIS-AUTH-001-S09;T-VIS-AUTH-001-S10;T-VIS-AUTH-001-S11;T-VIS-AUTH-001-S12;T-VIS-AUTH-001-S13;T-VIS-AUTH-001-S14;T-VIS-AUTH-001-S15;T-VIS-AUTH-001-S16;T-VIS-AUTH-OV-002-S01;T-VIS-AUTH-OV-002-S02;T-VIS-AUTH-OV-002-S03;T-VIS-AUTH-OV-002-S04,NONE,页面/状态/交互/API/数据/后台/配置/测试中适用项全部完成并有证据，方可标记 DONE
AUTH-002,手机号短信验证码登录,V1.0.0,AUTH-001;AUTH-OV-001;AUTH-OV-002,AUTH-001-S01;AUTH-001-S02;AUTH-001-S03;AUTH-001-S04;AUTH-001-S05;AUTH-001-S06;AUTH-001-S07;AUTH-001-S08;AUTH-001-S09;AUTH-001-S10;AUTH-001-S11;AUTH-001-S12;AUTH-001-S13;AUTH-001-S14;AUTH-001-S15;AUTH-001-S16;AUTH-OV-001-S01;AUTH-OV-001-S02;AUTH-OV-001-S03;AUTH-OV-001-S04;AUTH-OV-001-S05;AUTH-OV-001-S06;AUTH-OV-001-S07;AUTH-OV-001-S08;AUTH-OV-002-S01;AUTH-OV-002-S02;AUTH-OV-002-S03;AUTH-OV-002-S04,INT-AUTH-002;INT-AUTH-006;INT-AUTH-007;INT-AUTH-009,sendSmsCode;loginWithSms,android/feature-auth;stk_auth/service/sms;stk_auth/integration/aliyun_sms,DB-AUTH-001;DB-AUTH-002;DB-AUTH-004;DB-AUTH-005;DB-AUTH-006;DB-SYS-003,ADM-AUTH-006;ADM-AUTH-007;ADM-AUTH-009;ADM-AUTH-011;ADM-AUTH-014,CFG-SMS-001;CFG-SMS-002;CFG-SMS-003;CFG-SMS-004;CFG-SMS-005;CFG-SMS-006;CFG-SMS-007;CFG-SMS-008;CFG-SMS-009;CFG-SMS-010;CFG-SMS-011;CFG-SMS-012;CFG-SMS-013;CFG-SMS-014;CFG-SMS-015;CFG-SMS-016;CFG-SMS-017;CFG-SMS-018;CFG-SMS-019;CFG-SMS-020,anonymous,T-ADM-ADM-AUTH-006;T-ADM-ADM-AUTH-007;T-ADM-ADM-AUTH-009;T-ADM-ADM-AUTH-011;T-ADM-ADM-AUTH-014;T-API-loginWithSms;T-API-sendSmsCode;T-DB-DB-AUTH-001;T-DB-DB-AUTH-002;T-DB-DB-AUTH-004;T-DB-DB-AUTH-005;T-DB-DB-AUTH-006;T-DB-DB-SYS-003;T-REL-V1.0.0-BUILD;T-REL-V1.0.0-DESKTOP;T-REL-V1.0.0-EMULATOR;T-REL-V1.0.0-UPGRADE;T-REL-V1.0.0-VISUAL;T-UI-INT-AUTH-002;T-UI-INT-AUTH-006;T-UI-INT-AUTH-007;T-UI-INT-AUTH-009;T-VIS-AUTH-001-S01;T-VIS-AUTH-001-S02;T-VIS-AUTH-001-S03;T-VIS-AUTH-001-S04;T-VIS-AUTH-001-S05;T-VIS-AUTH-001-S06;T-VIS-AUTH-001-S07;T-VIS-AUTH-001-S08;T-VIS-AUTH-001-S09;T-VIS-AUTH-001-S10;T-VIS-AUTH-001-S11;T-VIS-AUTH-001-S12;T-VIS-AUTH-001-S13;T-VIS-AUTH-001-S14;T-VIS-AUTH-001-S15;T-VIS-AUTH-001-S16;T-VIS-AUTH-OV-001-S01;T-VIS-AUTH-OV-001-S02;T-VIS-AUTH-OV-001-S03;T-VIS-AUTH-OV-001-S04;T-VIS-AUTH-OV-001-S05;T-VIS-AUTH-OV-001-S06;T-VIS-AUTH-OV-001-S07;T-VIS-AUTH-OV-001-S08;T-VIS-AUTH-OV-002-S01;T-VIS-AUTH-OV-002-S02;T-VIS-AUTH-OV-002-S03;T-VIS-AUTH-OV-002-S04,NONE,页面/状态/交互/API/数据/后台/配置/测试中适用项全部完成并有证据，方可标记 DONE
AUTH-003,不发短信的手机号注册,V1.0.0,AUTH-002,AUTH-002-S01;AUTH-002-S02;AUTH-002-S03;AUTH-002-S04;AUTH-002-S05;AUTH-002-S06;AUTH-002-S07;AUTH-002-S08;AUTH-002-S09;AUTH-002-S10;AUTH-002-S11;AUTH-002-S12,INT-AUTH-010;INT-REG-001;INT-REG-002;INT-REG-003;INT-REG-004;INT-REG-005;INT-REG-006,registerUser,android/feature-auth;stk_auth/service/registration;stk_project/service/account_bootstrap,DB-AUTH-001;DB-AUTH-004;DB-AUTH-005;DB-ME-001;DB-ME-002;DB-SYS-003,ADM-AUTH-004;ADM-AUTH-008;ADM-AUTH-013,CFG-AUTH-007;CFG-AUTH-008;CFG-AUTH-009;CFG-AUTH-010;CFG-AUTH-011;CFG-AUTH-012;CFG-AUTH-013,anonymous,T-ADM-ADM-AUTH-004;T-ADM-ADM-AUTH-008;T-ADM-ADM-AUTH-013;T-API-registerUser;T-DB-DB-AUTH-001;T-DB-DB-AUTH-004;T-DB-DB-AUTH-005;T-DB-DB-ME-001;T-DB-DB-ME-002;T-DB-DB-SYS-003;T-REL-V1.0.0-BUILD;T-REL-V1.0.0-DESKTOP;T-REL-V1.0.0-EMULATOR;T-REL-V1.0.0-UPGRADE;T-REL-V1.0.0-VISUAL;T-UI-INT-AUTH-010;T-UI-INT-REG-001;T-UI-INT-REG-002;T-UI-INT-REG-003;T-UI-INT-REG-004;T-UI-INT-REG-005;T-UI-INT-REG-006;T-VIS-AUTH-002-S01;T-VIS-AUTH-002-S02;T-VIS-AUTH-002-S03;T-VIS-AUTH-002-S04;T-VIS-AUTH-002-S05;T-VIS-AUTH-002-S06;T-VIS-AUTH-002-S07;T-VIS-AUTH-002-S08;T-VIS-AUTH-002-S09;T-VIS-AUTH-002-S10;T-VIS-AUTH-002-S11;T-VIS-AUTH-002-S12,注册短信验证码;公开展示手机号作为用户名,页面/状态/交互/API/数据/后台/配置/测试中适用项全部完成并有证据，方可标记 DONE
AUTH-004,动作绑定安全验证码,V1.0.0,AUTH-OV-001,AUTH-OV-001-S01;AUTH-OV-001-S02;AUTH-OV-001-S03;AUTH-OV-001-S04;AUTH-OV-001-S05;AUTH-OV-001-S06;AUTH-OV-001-S07;AUTH-OV-001-S08,INT-CAPTCHA-001;INT-CAPTCHA-002;INT-CAPTCHA-003;INT-CAPTCHA-004,getCaptchaChallenge;verifyCaptcha,android/feature-auth;stk_auth/service/captcha,DB-AUTH-003;DB-AUTH-006,ADM-AUTH-005;ADM-AUTH-011,CFG-CAP-001;CFG-CAP-002;CFG-CAP-003;CFG-CAP-004;CFG-CAP-005;CFG-CAP-006;CFG-CAP-007;CFG-CAP-008,anonymous,T-ADM-ADM-AUTH-005;T-ADM-ADM-AUTH-011;T-API-getCaptchaChallenge;T-API-verifyCaptcha;T-DB-DB-AUTH-003;T-DB-DB-AUTH-006;T-REL-V1.0.0-BUILD;T-REL-V1.0.0-DESKTOP;T-REL-V1.0.0-EMULATOR;T-REL-V1.0.0-UPGRADE;T-REL-V1.0.0-VISUAL;T-UI-INT-CAPTCHA-001;T-UI-INT-CAPTCHA-002;T-UI-INT-CAPTCHA-003;T-UI-INT-CAPTCHA-004;T-VIS-AUTH-OV-001-S01;T-VIS-AUTH-OV-001-S02;T-VIS-AUTH-OV-001-S03;T-VIS-AUTH-OV-001-S04;T-VIS-AUTH-OV-001-S05;T-VIS-AUTH-OV-001-S06;T-VIS-AUTH-OV-001-S07;T-VIS-AUTH-OV-001-S08,NONE,页面/状态/交互/API/数据/后台/配置/测试中适用项全部完成并有证据，方可标记 DONE
AUTH-005,找回与重置密码,V1.0.0,AUTH-003;AUTH-OV-001,AUTH-003-S01;AUTH-003-S02;AUTH-003-S03;AUTH-003-S04;AUTH-003-S05;AUTH-003-S06;AUTH-003-S07;AUTH-003-S08;AUTH-003-S09;AUTH-003-S10;AUTH-003-S11;AUTH-OV-001-S01;AUTH-OV-001-S02;AUTH-OV-001-S03;AUTH-OV-001-S04;AUTH-OV-001-S05;AUTH-OV-001-S06;AUTH-OV-001-S07;AUTH-OV-001-S08,INT-AUTH-011;INT-RESET-001;INT-RESET-002;INT-RESET-003;INT-RESET-004;INT-RESET-005;INT-RESET-006,sendSmsCode;resetPassword,android/feature-auth;stk_auth/service/password_reset,DB-AUTH-002;DB-AUTH-004;DB-AUTH-005;DB-AUTH-006,ADM-AUTH-003;ADM-AUTH-006;ADM-AUTH-007;ADM-AUTH-009,CFG-AUTH-020;CFG-SMS-006;CFG-SMS-010;CFG-SMS-011,anonymous,T-ADM-ADM-AUTH-003;T-ADM-ADM-AUTH-006;T-ADM-ADM-AUTH-007;T-ADM-ADM-AUTH-009;T-API-resetPassword;T-API-sendSmsCode;T-DB-DB-AUTH-002;T-DB-DB-AUTH-004;T-DB-DB-AUTH-005;T-DB-DB-AUTH-006;T-REL-V1.0.0-BUILD;T-REL-V1.0.0-DESKTOP;T-REL-V1.0.0-EMULATOR;T-REL-V1.0.0-UPGRADE;T-REL-V1.0.0-VISUAL;T-UI-INT-AUTH-011;T-UI-INT-RESET-001;T-UI-INT-RESET-002;T-UI-INT-RESET-003;T-UI-INT-RESET-004;T-UI-INT-RESET-005;T-UI-INT-RESET-006;T-VIS-AUTH-003-S01;T-VIS-AUTH-003-S02;T-VIS-AUTH-003-S03;T-VIS-AUTH-003-S04;T-VIS-AUTH-003-S05;T-VIS-AUTH-003-S06;T-VIS-AUTH-003-S07;T-VIS-AUTH-003-S08;T-VIS-AUTH-003-S09;T-VIS-AUTH-003-S10;T-VIS-AUTH-003-S11;T-VIS-AUTH-OV-001-S01;T-VIS-AUTH-OV-001-S02;T-VIS-AUTH-OV-001-S03;T-VIS-AUTH-OV-001-S04;T-VIS-AUTH-OV-001-S05;T-VIS-AUTH-OV-001-S06;T-VIS-AUTH-OV-001-S07;T-VIS-AUTH-OV-001-S08,NONE,页面/状态/交互/API/数据/后台/配置/测试中适用项全部完成并有证据，方可标记 DONE
AUTH-006,Token 轮换与退出登录,V1.0.0,ME-OV-001,ME-OV-001-S01;ME-OV-001-S02;ME-OV-001-S03,INT-SET-005;INT-LOGOUT-001;INT-LOGOUT-002,refreshToken;logout,android/core-network;android/core-security;stk_auth/service/token,DB-AUTH-004;DB-AUTH-008,ADM-AUTH-003;ADM-AUTH-010;ADM-AUTH-013,CFG-AUTH-016;CFG-AUTH-017;CFG-AUTH-018;CFG-AUTH-019;CFG-AUTH-020,authenticated_user,T-ADM-ADM-AUTH-003;T-ADM-ADM-AUTH-010;T-ADM-ADM-AUTH-013;T-API-logout;T-API-refreshToken;T-DB-DB-AUTH-004;T-DB-DB-AUTH-008;T-REL-V1.0.0-BUILD;T-REL-V1.0.0-DESKTOP;T-REL-V1.0.0-EMULATOR;T-REL-V1.0.0-UPGRADE;T-REL-V1.0.0-VISUAL;T-UI-INT-LOGOUT-001;T-UI-INT-LOGOUT-002;T-UI-INT-SET-005;T-VIS-ME-OV-001-S01;T-VIS-ME-OV-001-S02;T-VIS-ME-OV-001-S03,NONE,页面/状态/交互/API/数据/后台/配置/测试中适用项全部完成并有证据，方可标记 DONE
AUTH-007,用户协议与隐私政策,V1.0.0,AUTH-004;AUTH-005,AUTH-004-S01;AUTH-004-S02;AUTH-004-S03;AUTH-004-S04;AUTH-005-S01;AUTH-005-S02;AUTH-005-S03;AUTH-005-S04,INT-AUTH-012;INT-AUTH-013;INT-REG-008;INT-REG-009;INT-LEGAL-001;INT-LEGAL-002;INT-LEGAL-003;INT-LEGAL-004;INT-SET-002;INT-SET-003,getLegalDocument,android/feature-auth;stk_auth/service/legal,NONE,ADM-AUTH-012,CFG-LEGAL-001;CFG-LEGAL-002;CFG-LEGAL-003,anonymous;authenticated_user,T-ADM-ADM-AUTH-012;T-API-getLegalDocument;T-REL-V1.0.0-BUILD;T-REL-V1.0.0-DESKTOP;T-REL-V1.0.0-EMULATOR;T-REL-V1.0.0-UPGRADE;T-REL-V1.0.0-VISUAL;T-UI-INT-AUTH-012;T-UI-INT-AUTH-013;T-UI-INT-LEGAL-001;T-UI-INT-LEGAL-002;T-UI-INT-LEGAL-003;T-UI-INT-LEGAL-004;T-UI-INT-REG-008;T-UI-INT-REG-009;T-UI-INT-SET-002;T-UI-INT-SET-003;T-VIS-AUTH-004-S01;T-VIS-AUTH-004-S02;T-VIS-AUTH-004-S03;T-VIS-AUTH-004-S04;T-VIS-AUTH-005-S01;T-VIS-AUTH-005-S02;T-VIS-AUTH-005-S03;T-VIS-AUTH-005-S04,NONE,页面/状态/交互/API/数据/后台/配置/测试中适用项全部完成并有证据，方可标记 DONE
AUTH-008,认证后台与审计,V1.0.0,AUTH-OV-002,AUTH-OV-002-S01;AUTH-OV-002-S02;AUTH-OV-002-S03;AUTH-OV-002-S04,INT-RISK-001,NONE_LOCAL_OR_ADMIN_ONLY,stk_auth/admin;stk_auth/audit,DB-AUTH-005;DB-AUTH-006;DB-AUTH-007;DB-AUTH-008,ADM-AUTH-001;ADM-AUTH-002;ADM-AUTH-003;ADM-AUTH-004;ADM-AUTH-005;ADM-AUTH-006;ADM-AUTH-007;ADM-AUTH-008;ADM-AUTH-009;ADM-AUTH-010;ADM-AUTH-011;ADM-AUTH-012;ADM-AUTH-013;ADM-AUTH-014,NONE,super_admin;auth_operator;security_auditor,T-ADM-ADM-AUTH-001;T-ADM-ADM-AUTH-002;T-ADM-ADM-AUTH-003;T-ADM-ADM-AUTH-004;T-ADM-ADM-AUTH-005;T-ADM-ADM-AUTH-006;T-ADM-ADM-AUTH-007;T-ADM-ADM-AUTH-008;T-ADM-ADM-AUTH-009;T-ADM-ADM-AUTH-010;T-ADM-ADM-AUTH-011;T-ADM-ADM-AUTH-012;T-ADM-ADM-AUTH-013;T-ADM-ADM-AUTH-014;T-DB-DB-AUTH-005;T-DB-DB-AUTH-006;T-DB-DB-AUTH-007;T-DB-DB-AUTH-008;T-REL-V1.0.0-BUILD;T-REL-V1.0.0-DESKTOP;T-REL-V1.0.0-EMULATOR;T-REL-V1.0.0-UPGRADE;T-REL-V1.0.0-VISUAL;T-UI-INT-RISK-001;T-VIS-AUTH-OV-002-S01;T-VIS-AUTH-OV-002-S02;T-VIS-AUTH-OV-002-S03;T-VIS-AUTH-OV-002-S04,NONE,页面/状态/交互/API/数据/后台/配置/测试中适用项全部完成并有证据，方可标记 DONE
