state_id,page_id,state_code,name,applicable,description,introduced_in,mockup_required,mockup_status
DS-001-S01,DS-001,REFERENCE,完整规范,true,展示最终色值、字号、行高、字重、间距和圆角标尺,V1.0.0,true,APPROVED
DS-002-S01,DS-002,REFERENCE,完整组件,true,展示所有公共组件默认、按下、禁用和错误样式,V1.0.0,true,APPROVED
DS-003-S01,DS-003,REFERENCE,完整状态,true,展示加载、空、离线、错误、成功、Snackbar、Dialog 和 Bottom Sheet,V1.0.0,true,APPROVED
SYS-001-S01,SYS-001,CHECKING,启动检查,true,本地原生首帧，检查配置、登录态和版本,V1.0.0,true,APPROVED
SYS-001-S02,SYS-001,AUTH_REQUIRED,需要登录,true,无有效令牌，转入登录页前的短暂状态,V1.0.0,true,APPROVED
SYS-001-S03,SYS-001,READY,进入首页,true,引导进入已缓存首页内容,V1.0.0,true,APPROVED
SYS-001-S04,SYS-001,OFFLINE_WITH_SESSION,离线但有登录态,true,允许进入缓存首页并显示离线提示,V1.1.0,true,APPROVED
SYS-001-S05,SYS-001,OPTIONAL_UPDATE,发现可选更新,true,触发可选更新弹窗,V1.4.0,true,APPROVED
SYS-001-S06,SYS-001,FORCED_UPDATE,发现强制更新,true,触发不可跳过更新弹窗,V1.4.0,true,APPROVED
SYS-001-S07,SYS-001,MAINTENANCE,维护模式,true,转入维护页,V1.4.0,true,APPROVED
SYS-001-S08,SYS-001,BOOTSTRAP_FAILED,启动配置失败,true,显示重试，不出现白屏,V1.0.0,true,APPROVED
SYS-002-S01,SYS-002,MAINTENANCE,系统维护,true,后台配置维护文案和预计恢复说明,V1.0.0,true,APPROVED
SYS-002-S02,SYS-002,SERVICE_UNAVAILABLE,服务不可用,true,后端暂时不可用并提供重试,V1.0.0,true,APPROVED
SYS-002-S03,SYS-002,OFFLINE_NO_CACHE,离线且无缓存,true,首次使用无网络，提供检查网络和重试,V1.0.0,true,APPROVED
SYS-002-S04,SYS-002,SERVER_ERROR,系统异常,true,服务端错误，显示请求编号供排查,V1.0.0,true,APPROVED
SYS-002-S05,SYS-002,RECOVERED,服务已恢复,true,恢复提示并返回上一安全页面,V1.4.0,true,APPROVED
SYS-003-S01,SYS-003,LOADING,检查版本,true,请求当前发布配置,V1.4.0,true,APPROVED
SYS-003-S02,SYS-003,UP_TO_DATE,已是最新版,true,展示当前版本及检查时间,V1.4.0,true,APPROVED
SYS-003-S03,SYS-003,OPTIONAL_AVAILABLE,可选更新可用,true,展示新版本、大小和更新日志,V1.4.0,true,APPROVED
SYS-003-S04,SYS-003,FORCED_AVAILABLE,强制更新可用,true,展示最低版本限制,V1.4.0,true,APPROVED
SYS-003-S05,SYS-003,DOWNLOADING,正在下载,true,展示进度、大小和取消策略,V1.4.0,true,APPROVED
SYS-003-S06,SYS-003,DOWNLOAD_FAILED,下载失败,true,保留重试并解释网络/存储错误,V1.4.0,true,APPROVED
SYS-003-S07,SYS-003,READY_TO_INSTALL,等待安装,true,校验 SHA-256 后交给系统安装器,V1.4.0,true,APPROVED
SYS-003-S08,SYS-003,INSTALL_BLOCKED,安装受阻,true,未知来源权限或包签名不匹配提示,V1.4.0,true,APPROVED
SYS-OV-001-S01,SYS-OV-001,DEFAULT,可选更新,true,立即更新或稍后处理,V1.4.0,true,APPROVED
SYS-OV-001-S02,SYS-OV-001,DOWNLOADING,下载中,true,按钮锁定并显示进度,V1.4.0,true,APPROVED
SYS-OV-001-S03,SYS-OV-001,FAILED,下载失败,true,允许重试或稍后,V1.4.0,true,APPROVED
SYS-OV-002-S01,SYS-OV-002,DEFAULT,强制更新,true,只有立即更新按钮,V1.4.0,true,APPROVED
SYS-OV-002-S02,SYS-OV-002,DOWNLOADING,强制更新下载中,true,不可关闭,V1.4.0,true,APPROVED
SYS-OV-002-S03,SYS-OV-002,FAILED,强制更新失败,true,重试和客服入口,V1.4.0,true,APPROVED
COM-OV-001-S01,COM-OV-001,ALLOWED,白名单外链确认,true,显示目标服务和域名,V1.1.0,true,APPROVED
COM-OV-001-S02,COM-OV-001,BLOCKED,外链被阻断,true,非白名单地址不可继续,V1.1.0,true,APPROVED
COM-OV-001-S03,COM-OV-001,APP_UNAVAILABLE,目标应用未安装,true,提供浏览器或复制回退,V1.1.0,true,APPROVED
COM-OV-002-S01,COM-OV-002,PUBLISH_STAGE,发布尚未开放,true,V1.0/V1.1 点击发布时显示 V1.2 开放,V1.0.0,true,APPROVED
COM-OV-002-S02,COM-OV-002,MEMBER_STAGE,会员在线开通未开放,true,只展示会员状态和权益,V1.3.0,true,APPROVED
COM-OV-002-S03,COM-OV-002,WALLET_STAGE,账户操作未开放,true,只展示余额,V1.3.0,true,APPROVED
COM-OV-002-S04,COM-OV-002,PROP_STAGE,道具购买未开放,true,只展示道具,V1.3.0,true,APPROVED
AUTH-001-S01,AUTH-001,PASSWORD_DEFAULT,密码登录默认,true,手机号与密码表单,V1.0.0,true,APPROVED
AUTH-001-S02,AUTH-001,SMS_DEFAULT,短信登录默认,true,手机号、短信码和发送按钮,V1.0.0,true,APPROVED
AUTH-001-S03,AUTH-001,FIELD_FOCUSED,输入聚焦,true,键盘和输入高亮,V1.0.0,true,APPROVED
