"batch_id","state_id","page_id","state_name","reference_file","implementation_status","code_location","test_or_fixture","notes"
"B01","PUB-001-S01","PUB-001","空表单","ui-reference/detailed/V1.2.0/PUB-001-S01.png","ALREADY_MATCHED","PublishScreen.kt; MainShell.kt; api.inc.php","真机 final-10205/03-publish-empty.xml、17-full-publish-empty.xml","该状态有直接或同页代表性真机证据；动态项目文字、真实图片和设备系统栏不作为视觉不一致。"
"B01","PUB-001-S02","PUB-001","已输入草稿","ui-reference/detailed/V1.2.0/PUB-001-S02.png","ALREADY_MATCHED","PublishScreen.kt; MainShell.kt; api.inc.php","真机 final-10205/18-full-publish-text.xml、24-full-ready.png","该状态有直接或同页代表性真机证据；动态项目文字、真实图片和设备系统栏不作为视觉不一致。"
"B01","PUB-001-S07","PUB-001","发布校验错误","ui-reference/detailed/V1.2.0/PUB-001-S07.png","ALREADY_MATCHED","PublishScreen.kt; MainShell.kt; api.inc.php","ProjectSubmissionViewModelTest；project_contract_test.php；full_spec_contract_test.php；服务器门禁","状态由同一 Screen、公共组件和真实 UI State 实现；该瞬态或强制异常未单独采集真机截图，结论来自源码分支、单元/合同测试及同页代表性真机视觉抽查，不声称逐图自动截图。"
"B01","PUB-OV-002-S01","PUB-OV-002","放弃未保存内容","ui-reference/detailed/V1.2.0/PUB-OV-002-S01.png","ALREADY_MATCHED","PublishScreen.kt; MainShell.kt; api.inc.php","真机 final-10205/04-unsaved-confirm.png、final-10208/08-after-back.xml","该状态有直接或同页代表性真机证据；动态项目文字、真实图片和设备系统栏不作为视觉不一致。"
"B01","PUB-OV-003-S01","PUB-OV-003","选择联系方式","ui-reference/detailed/V1.2.0/PUB-OV-003-S01.png","ALREADY_MATCHED","PublishScreen.kt; MainShell.kt; api.inc.php","真机 final-10205/06-contact-sheet.png、23-full-contact.xml","该状态有直接或同页代表性真机证据；动态项目文字、真实图片和设备系统栏不作为视觉不一致。"
"B01","PUB-OV-003-S02","PUB-OV-003","已选类型","ui-reference/detailed/V1.2.0/PUB-OV-003-S02.png","ALREADY_MATCHED","PublishScreen.kt; MainShell.kt; api.inc.php","真机 final-10205/23-full-contact.xml；后台 contact_types 合同","该状态有直接或同页代表性真机证据；动态项目文字、真实图片和设备系统栏不作为视觉不一致。"
"B01","PUB-OV-003-S03","PUB-OV-003","无可用类型","ui-reference/detailed/V1.2.0/PUB-OV-003-S03.png","ALREADY_MATCHED","PublishScreen.kt; MainShell.kt; api.inc.php","PublishScreen ContactTypeSheet；publishing/config 与后台配置合同","状态由同一 Screen、公共组件和真实 UI State 实现；该瞬态或强制异常未单独采集真机截图，结论来自源码分支、单元/合同测试及同页代表性真机视觉抽查，不声称逐图自动截图。"
"B02","PUB-001-S03","PUB-001","选择图片","ui-reference/detailed/V1.2.0/PUB-001-S03.png","ALREADY_MATCHED","PublishScreen.kt; ProjectSubmissionViewModel.kt; HttpProjectSubmissionRepository.kt","真机 final-10205/07-photo-picker.png、20-full-photo-picker.xml","该状态有直接或同页代表性真机证据；动态项目文字、真实图片和设备系统栏不作为视觉不一致。"
"B02","PUB-001-S04","PUB-001","图片压缩","ui-reference/detailed/V1.2.0/PUB-001-S04.png","ALREADY_MATCHED","PublishScreen.kt; ProjectSubmissionViewModel.kt; HttpProjectSubmissionRepository.kt","真机 final-10205/08-image-added.png；ImageUploadProcessor 与单元测试","该状态有直接或同页代表性真机证据；动态项目文字、真实图片和设备系统栏不作为视觉不一致。"
"B02","PUB-001-S05","PUB-001","图片上传","ui-reference/detailed/V1.2.0/PUB-001-S05.png","ALREADY_MATCHED","PublishScreen.kt; ProjectSubmissionViewModel.kt; HttpProjectSubmissionRepository.kt","真机 final-10205/09-image-uploaded.png、21-full-image-uploaded.png","该状态有直接或同页代表性真机证据；动态项目文字、真实图片和设备系统栏不作为视觉不一致。"
