interaction_id,page_id,name,action,target,api_operation_id,implementation_version,test_level,version_close_required,expected_result
INT-NAV-001,HOME-001,底部导航进入首页,点击首页,stk://home,LOCAL_NAVIGATION,V1.0.0,GROUPED_COMPOSE_UI,YES,进入首页并保留或恢复滚动位置；在首页再次点击回到顶部
INT-NAV-002,HOME-001,底部导航进入发布,点击发布,版本化路由,LOCAL_VERSIONED_NAVIGATION,V1.0.0,GROUPED_COMPOSE_UI,YES,V1.0/V1.1 打开阶段说明；V1.2 起进入 PUB-001
INT-NAV-003,HOME-001,底部导航进入我的,点击我的,stk://me,LOCAL_NAVIGATION,V1.0.0,GROUPED_COMPOSE_UI,YES,进入我的页面并保留首页状态
INT-SYS-001,SYS-001,重试启动配置,点击重试,重新执行启动编排,getBootstrap,V1.0.0,EMULATOR_E2E_SMOKE,YES,产生合同规定的唯一结果
INT-SYS-002,SYS-001,离线进入缓存首页,点击离线进入,stk://home,LOCAL_CACHE_ROUTE,V1.0.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-SYS-003,SYS-002,服务异常重试,点击重试,上一次安全请求,LOCAL_RETRY,V1.0.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-SYS-004,SYS-002,打开客服,点击联系客服,stk://me/support,LOCAL_NAVIGATION,V1.0.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-STAGE-001,COM-OV-002,关闭阶段说明,点击返回,关闭弹层,LOCAL_DISMISS,V1.0.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-AUTH-001,AUTH-001,切换密码登录,点击密码登录,密码表单,LOCAL_UI_STATE,V1.0.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-AUTH-002,AUTH-001,切换短信登录,点击短信登录,短信表单,LOCAL_UI_STATE,V1.0.0,EMULATOR_E2E_SMOKE,YES,产生合同规定的唯一结果
INT-AUTH-003,AUTH-001,输入手机号,输入并格式化手机号,手机号字段,LOCAL_VALIDATION,V1.0.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-AUTH-004,AUTH-001,输入登录密码,输入密码,密码字段,LOCAL_VALIDATION,V1.0.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-AUTH-005,AUTH-001,切换密码可见性,点击眼睛图标,密码可见性,LOCAL_UI_STATE,V1.0.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-AUTH-006,AUTH-001,输入短信验证码,输入 6 位验证码,短信码字段,LOCAL_VALIDATION,V1.0.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-AUTH-007,AUTH-001,发送登录短信验证码,点击发送验证码,先打开安全验证码,sendSmsCode,V1.0.0,EMULATOR_E2E_SMOKE,YES,安全验证码通过后服务端发送阿里云短信并启动倒计时
INT-AUTH-008,AUTH-001,提交密码登录,点击登录,先打开安全验证码,loginWithPassword,V1.0.0,EMULATOR_E2E_SMOKE,YES,产生合同规定的唯一结果
INT-AUTH-009,AUTH-001,提交短信登录,点击登录,先打开安全验证码,loginWithSms,V1.0.0,EMULATOR_E2E_SMOKE,YES,产生合同规定的唯一结果
INT-AUTH-010,AUTH-001,进入注册,点击注册,stk://auth/register,LOCAL_NAVIGATION,V1.0.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-AUTH-012,AUTH-001,打开用户协议,点击用户协议,stk://legal/user-agreement,LOCAL_NAVIGATION,V1.0.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-AUTH-013,AUTH-001,打开隐私政策,点击隐私政策,stk://legal/privacy-policy,LOCAL_NAVIGATION,V1.0.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-REG-001,AUTH-002,输入注册手机号,输入手机号,手机号字段,LOCAL_VALIDATION,V1.0.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-REG-002,AUTH-002,输入注册密码,输入密码,密码字段,LOCAL_VALIDATION,V1.0.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
