"batch_id","state_id","page_id","state_name","reference_file","implementation_status","code_location","test_or_fixture","notes"
"B01","SYS-001-S04","SYS-001","离线但有登录态","ui-reference/detailed/V1.1.0/SYS-001-S04.png","ALREADY_MATCHED","ui/StkApp.kt; ui/system/SplashScreen.kt; ui/main/ProjectDetailScreen.kt","startup-offline","此前 Redmi 完整真机流程已有直接点击/输入/返回/滚动或状态截图证据；本轮未重复该代表状态。相关实现及 B01 的 fast-check、Debug 单元测试和 assembleDebug 服务器门禁通过。"
"B01","SYS-002-S03","SYS-002","离线且无缓存","ui-reference/detailed/V1.1.0/SYS-002-S03.png","ALREADY_MATCHED","ui/StkApp.kt; ui/system/SplashScreen.kt; ui/main/ProjectDetailScreen.kt","system-offline-empty","此前 Redmi 完整真机流程已有直接点击/输入/返回/滚动或状态截图证据；本轮未重复该代表状态。相关实现及 B01 的 fast-check、Debug 单元测试和 assembleDebug 服务器门禁通过。"
"B01","COM-OV-001-S01","COM-OV-001","白名单外链确认","ui-reference/detailed/V1.1.0/COM-OV-001-S01.png","ALREADY_MATCHED","ui/StkApp.kt; ui/system/SplashScreen.kt; ui/main/ProjectDetailScreen.kt; ui/components/StkDialogs.kt","external-link-allowed","此前 Redmi 真机流程已直接触发该状态；本轮修复后的颜色/安全图标因线上项目当前仅返回手机号而未单独重触发。最终样式由 ProjectDetailScreen/StkDialogs 代码、单元测试及 B01 服务器三门禁证明，不冒充本轮真机截图。"
"B01","COM-OV-001-S02","COM-OV-001","外链被阻断","ui-reference/detailed/V1.1.0/COM-OV-001-S02.png","ALREADY_MATCHED","ui/StkApp.kt; ui/system/SplashScreen.kt; ui/main/ProjectDetailScreen.kt; ui/components/StkDialogs.kt","external-link-blocked","此前 Redmi 真机流程已直接触发该状态；本轮修复后的颜色/安全图标因线上项目当前仅返回手机号而未单独重触发。最终样式由 ProjectDetailScreen/StkDialogs 代码、单元测试及 B01 服务器三门禁证明，不冒充本轮真机截图。"
"B01","COM-OV-001-S03","COM-OV-001","目标应用未安装","ui-reference/detailed/V1.1.0/COM-OV-001-S03.png","ALREADY_MATCHED","ui/StkApp.kt; ui/system/SplashScreen.kt; ui/main/ProjectDetailScreen.kt","external-app-missing","此前 Redmi 完整真机流程已有直接点击/输入/返回/滚动或状态截图证据；本轮未重复该代表状态。相关实现及 B01 的 fast-check、Debug 单元测试和 assembleDebug 服务器门禁通过。"
"B02","HOME-001-S01","HOME-001","首次骨架","ui-reference/detailed/V1.1.0/HOME-001-S01.png","ALREADY_MATCHED","ui/main/HomeScreen.kt; ui/main/ProjectComponents.kt; ui/main/ProjectViewModel.kt; data/project/HttpProjectRepository.kt; data/project/ProjectCache.kt","home-loading","本轮未单独触发该边界状态；由现有 UI State/错误映射实现、相关代码或单元测试，以及 B02 的 fast-check、Debug 单元测试和 assembleDebug 服务器门禁证明。按批准要求仅抽查每页代表状态，不将其写成真机直接证据。"
"B02","HOME-001-S02","HOME-001","正常内容","ui-reference/detailed/V1.1.0/HOME-001-S02.png","ALREADY_MATCHED","ui/main/HomeScreen.kt; ui/main/ProjectComponents.kt; ui/main/ProjectViewModel.kt; data/project/HttpProjectRepository.kt; data/project/ProjectCache.kt","home-content","此前 Redmi 完整真机流程已有直接点击/输入/返回/滚动或状态截图证据；本轮未重复该代表状态。相关实现及 B02 的 fast-check、Debug 单元测试和 assembleDebug 服务器门禁通过。"
"B02","HOME-001-S03","HOME-001","下拉刷新","ui-reference/detailed/V1.1.0/HOME-001-S03.png","ALREADY_MATCHED","ui/main/HomeScreen.kt; ui/main/ProjectComponents.kt; ui/main/ProjectViewModel.kt; data/project/HttpProjectRepository.kt; data/project/ProjectCache.kt","home-refresh","此前 Redmi 完整真机流程已有直接点击/输入/返回/滚动或状态截图证据；本轮未重复该代表状态。相关实现及 B02 的 fast-check、Debug 单元测试和 assembleDebug 服务器门禁通过。"
"B02","HOME-001-S04","HOME-001","分类筛选结果","ui-reference/detailed/V1.1.0/HOME-001-S04.png","ALREADY_MATCHED","ui/main/HomeScreen.kt; ui/main/ProjectComponents.kt; ui/main/ProjectViewModel.kt; data/project/HttpProjectRepository.kt; data/project/ProjectCache.kt","home-category","此前 Redmi 完整真机流程已有直接点击/输入/返回/滚动或状态截图证据；本轮未重复该代表状态。相关实现及 B02 的 fast-check、Debug 单元测试和 assembleDebug 服务器门禁通过。"
"B02","HOME-001-S05","HOME-001","加载下一页","ui-reference/detailed/V1.1.0/HOME-001-S05.png","ALREADY_MATCHED","ui/main/HomeScreen.kt; ui/main/ProjectComponents.kt; ui/main/ProjectViewModel.kt; data/project/HttpProjectRepository.kt; data/project/ProjectCache.kt","home-paging-loading","本轮未单独触发该边界状态；由现有 UI State/错误映射实现、相关代码或单元测试，以及 B02 的 fast-check、Debug 单元测试和 assembleDebug 服务器门禁证明。按批准要求仅抽查每页代表状态，不将其写成真机直接证据。"
"B02","HOME-001-S06","HOME-001","下一页失败","ui-reference/detailed/V1.1.0/HOME-001-S06.png","ALREADY_MATCHED","ui/main/HomeScreen.kt; ui/main/ProjectComponents.kt; ui/main/ProjectViewModel.kt; data/project/HttpProjectRepository.kt; data/project/ProjectCache.kt","home-paging-error","本轮未单独触发该边界状态；由现有 UI State/错误映射实现、相关代码或单元测试，以及 B02 的 fast-check、Debug 单元测试和 assembleDebug 服务器门禁证明。按批准要求仅抽查每页代表状态，不将其写成真机直接证据。"
"B02","HOME-001-S08","HOME-001","离线缓存","ui-reference/detailed/V1.1.0/HOME-001-S08.png","ALREADY_MATCHED","ui/main/HomeScreen.kt; ui/main/ProjectComponents.kt; ui/main/ProjectViewModel.kt; data/project/HttpProjectRepository.kt; data/project/ProjectCache.kt","home-offline-cache","此前 Redmi 完整真机流程已有直接点击/输入/返回/滚动或状态截图证据；本轮未重复该代表状态。相关实现及 B02 的 fast-check、Debug 单元测试和 assembleDebug 服务器门禁通过。"
"B02","HOME-001-S09","HOME-001","离线无缓存","ui-reference/detailed/V1.1.0/HOME-001-S09.png","ALREADY_MATCHED","ui/main/HomeScreen.kt; ui/main/ProjectComponents.kt; ui/main/ProjectViewModel.kt; data/project/HttpProjectRepository.kt; data/project/ProjectCache.kt","home-offline-empty","此前 Redmi 完整真机流程已有直接点击/输入/返回/滚动或状态截图证据；本轮未重复该代表状态。相关实现及 B02 的 fast-check、Debug 单元测试和 assembleDebug 服务器门禁通过。"
